age,gender,employment_status,occupation,monthly_income,existing_emi,loan_amount,loan_tenure,credit_score,marital_status,dependents,education,residential_status,eligible
21,Female,Employed,Other,6694.7,371.97,34492.45,36,669,Married,0,Master,Rented,1
45,Male,Employed,Farmer,2162.91,442.09,8562.26,12,760,Married,0,High School,Mortgaged,1
27,Male,Employed,Teacher,6256.88,1001.22,174447.94,24,695,Single,2,Bachelor,Owned,0
29,Male,Employed,Teacher,3858.26,595.41,43078.3,12,642,Married,0,High School,Rented,1
44,Male,Student,Doctor,1164.72,89.72,13283.36,180,645,Divorced,1,Other,Mortgaged,1
21,Female,Self-Employed,Sales,2829.46,29.61,36218.75,48,586,Married,3,Master,Rented,1
64,Female,Employed,Accountant,6438.73,792.48,79902.41,36,872,Married,2,Diploma,Rented,1
28,Male,Employed,Clerk,4567.46,146.01,47756.81,12,768,Married,3,Bachelor,Owned,1
44,Male,Employed,Accountant,6268.7,1703.81,64524.46,24,728,Single,0,Diploma,Mortgaged,1
31,Female,Employed,Other,5652.99,69.96,195182.34,36,575,Divorced,4,Master,Parental,0
37,Male,Retired,Doctor,1809.31,234.3,142359.08,36,643,Divorced,1,High School,Rented,0
28,Male,Employed,Manager,5752.79,90.17,143877.39,84,601,Widowed,0,Master,Mortgaged,1
55,Female,Employed,Clerk,4004.65,114.79,23463.65,180,690,Married,1,PhD,Rented,1
55,Female,Employed,Accountant,5096.19,1007.31,147759.18,84,605,Married,0,Bachelor,Owned,1
53,Male,Employed,Manager,4540.11,881.39,149172.14,24,626,Single,0,Diploma,Owned,1
25,Female,Self-Employed,Clerk,5349.87,53.05,133650.28,24,607,Married,0,Bachelor,Rented,1
62,Male,Self-Employed,Accountant,4810.48,1.63,49545.08,120,660,Married,2,Bachelor,Rented,1
59,Female,Self-Employed,Farmer,3953.92,93.49,87492.05,12,685,Divorced,3,Bachelor,Mortgaged,0
61,Male,Employed,Other,3971.43,909.06,170023.91,12,662,Married,4,Bachelor,Rented,1
48,Male,Self-Employed,Engineer,2096.51,367.67,135689.32,120,802,Divorced,3,Bachelor,Parental,1
27,Male,Self-Employed,Clerk,4203.48,48.07,147889.92,240,744,Divorced,3,Bachelor,Rented,1
29,Female,Student,Other,500.0,73.21,119538.01,60,617,Divorced,1,Master,Rented,0
28,Female,Employed,Sales,2183.01,466.31,92669.39,12,706,Single,2,High School,Owned,0
32,Male,Employed,Doctor,3004.96,783.35,153015.14,60,623,Married,2,Bachelor,Rented,0
54,Male,Self-Employed,Manager,6438.81,1804.23,18245.53,12,648,Married,0,Master,Mortgaged,1
53,Female,Self-Employed,Clerk,3010.04,295.68,136266.34,240,718,Married,3,High School,Owned,1
68,Male,Employed,Doctor,6623.24,269.9,199454.88,48,733,Single,4,Master,Parental,1
43,Male,Employed,Doctor,4465.03,317.36,157137.43,240,633,Married,1,Master,Parental,1
44,Female,Employed,Engineer,6859.37,1597.21,61659.88,24,591,Single,2,Bachelor,Rented,1
57,Male,Student,Accountant,2750.75,801.69,59174.8,120,687,Married,0,High School,Rented,0
55,Female,Employed,Clerk,3761.46,526.3,135107.63,24,714,Married,4,Diploma,Owned,0
64,Female,Retired,Other,500.0,45.8,179691.58,48,628,Divorced,3,Bachelor,Owned,0
60,Male,Employed,Teacher,2145.02,276.19,117700.2,84,745,Married,4,Diploma,Owned,1
42,Male,Retired,Clerk,1787.01,163.41,107843.45,24,731,Married,2,Other,Rented,0
47,Male,Unemployed,Clerk,3334.45,256.57,36274.91,24,627,Married,1,Bachelor,Owned,0
55,Female,Employed,Clerk,4384.16,780.93,144514.11,24,770,Single,3,Bachelor,Mortgaged,1
21,Female,Student,Doctor,1217.87,5.75,141948.23,36,772,Married,1,PhD,Rented,0
55,Female,Employed,Manager,6955.01,541.56,193555.52,60,845,Single,4,Master,Owned,1
57,Male,Student,Doctor,1165.48,231.25,63537.48,240,816,Widowed,4,Bachelor,Rented,1
67,Female,Self-Employed,Manager,4113.84,39.57,152506.87,84,607,Married,0,Bachelor,Parental,1
34,Female,Employed,Teacher,5933.99,148.12,89642.73,240,753,Single,3,Diploma,Rented,1
23,Female,Self-Employed,Doctor,4433.45,390.23,113902.19,60,750,Married,4,Other,Rented,1
21,Female,Retired,Manager,2850.8,750.73,164208.5,84,652,Married,2,Bachelor,Mortgaged,0
25,Female,Employed,Doctor,3917.83,899.01,48289.03,180,716,Married,2,Master,Mortgaged,1
46,Female,Self-Employed,Sales,4117.73,27.37,71859.4,36,529,Single,1,Bachelor,Mortgaged,0
34,Female,Self-Employed,Doctor,5641.6,849.14,155795.19,24,527,Widowed,2,Master,Owned,0
59,Male,Unemployed,Teacher,3173.01,261.48,116239.29,36,542,Single,4,High School,Mortgaged,0
47,Male,Employed,Teacher,5438.41,1058.28,23022.47,240,711,Single,2,Other,Rented,1
29,Female,Employed,Manager,6132.74,1327.53,88886.24,84,714,Single,3,PhD,Parental,1
35,Male,Employed,Manager,5404.6,1399.03,119393.5,48,658,Married,1,Bachelor,Owned,1
35,Female,Self-Employed,Teacher,3869.01,551.82,182355.88,36,817,Single,3,Master,Parental,1
46,Other,Employed,Teacher,5771.39,1721.81,41755.17,24,758,Single,4,Master,Parental,1
62,Female,Retired,Engineer,4784.0,1406.48,162160.83,48,552,Married,4,PhD,Owned,0
33,Male,Employed,Clerk,3670.46,971.39,30471.77,240,666,Married,2,Bachelor,Parental,1
52,Male,Self-Employed,Farmer,1822.9,314.38,52235.95,48,604,Single,0,Bachelor,Owned,0
59,Male,Employed,Doctor,4200.49,501.55,52452.06,60,713,Single,0,Master,Owned,1
69,Female,Employed,Accountant,5317.49,581.29,176108.44,180,677,Married,4,Master,Rented,1
52,Female,Employed,Clerk,6304.81,22.93,43808.45,24,609,Single,4,Bachelor,Parental,1
24,Female,Employed,Farmer,3515.74,262.81,158457.34,36,815,Married,1,Master,Rented,1
50,Male,Self-Employed,Engineer,500.0,107.82,95052.27,84,684,Single,4,High School,Rented,0
57,Female,Student,Accountant,500.0,90.54,199822.7,120,646,Single,4,Master,Rented,0
43,Female,Self-Employed,Manager,3709.13,1019.74,168622.84,48,659,Married,1,Diploma,Parental,1
59,Male,Retired,Teacher,1256.59,18.86,149242.11,12,809,Single,3,Bachelor,Mortgaged,0
65,Female,Student,Sales,500.0,23.29,174791.63,120,752,Single,3,Bachelor,Owned,0
35,Male,Self-Employed,Other,5300.93,1255.12,128635.93,240,667,Married,1,Bachelor,Rented,1
63,Male,Unemployed,Teacher,617.18,66.38,169512.19,12,600,Divorced,1,Bachelor,Owned,0
49,Female,Self-Employed,Sales,4518.43,160.42,55919.74,12,613,Married,3,Bachelor,Rented,1
56,Male,Employed,Farmer,4466.48,1335.19,24052.13,12,641,Married,3,Bachelor,Owned,0
33,Female,Self-Employed,Manager,2868.83,677.55,125106.74,120,720,Divorced,3,Diploma,Owned,1
52,Female,Employed,Accountant,4455.65,546.36,89764.63,240,740,Widowed,3,Master,Mortgaged,1
27,Female,Self-Employed,Farmer,4748.32,1172.86,88155.96,36,621,Married,2,Bachelor,Rented,1
42,Male,Self-Employed,Teacher,1763.02,359.98,107715.83,180,744,Married,1,Bachelor,Rented,1
48,Female,Employed,Teacher,7475.26,1771.58,75469.61,240,607,Married,0,Bachelor,Rented,1
22,Female,Employed,Accountant,5862.29,1433.69,127081.61,36,631,Single,2,PhD,Owned,1
62,Female,Student,Other,500.0,12.71,10960.83,36,564,Married,0,Master,Rented,0
65,Male,Self-Employed,Sales,5220.11,975.6,194128.81,12,561,Widowed,0,High School,Rented,1
26,Male,Employed,Farmer,6833.52,13.91,185318.25,24,606,Married,4,Master,Mortgaged,0
48,Female,Self-Employed,Manager,3504.49,45.69,187377.68,120,677,Married,1,Other,Rented,1
48,Male,Self-Employed,Teacher,3675.12,996.67,76175.68,36,600,Married,2,Bachelor,Rented,1
64,Female,Employed,Farmer,7240.21,1145.9,108718.74,120,799,Married,1,Other,Mortgaged,1
64,Female,Retired,Other,6178.46,1364.02,191055.47,60,605,Married,3,Bachelor,Mortgaged,0
40,Male,Self-Employed,Farmer,4044.15,1017.31,180957.48,180,694,Married,1,Bachelor,Mortgaged,1
50,Female,Employed,Accountant,3262.68,929.46,159097.67,60,785,Married,0,Bachelor,Parental,1
31,Female,Unemployed,Manager,500.0,130.4,84429.66,36,687,Married,3,Bachelor,Mortgaged,0
48,Female,Student,Engineer,2549.52,369.66,115046.15,240,650,Divorced,1,Diploma,Rented,1
45,Female,Employed,Accountant,3454.68,348.2,159617.93,120,691,Divorced,1,High School,Mortgaged,1
59,Female,Employed,Farmer,4687.58,217.26,58237.34,60,635,Single,0,High School,Rented,1
53,Male,Employed,Engineer,5438.88,653.19,127157.63,120,599,Divorced,3,Bachelor,Owned,1
21,Male,Self-Employed,Teacher,2615.93,287.62,166447.19,240,729,Single,0,Bachelor,Rented,1
47,Female,Self-Employed,Engineer,5644.65,947.58,142953.68,60,633,Single,1,Bachelor,Owned,1
33,Male,Self-Employed,Other,5040.95,1006.44,98498.72,120,754,Married,2,Bachelor,Owned,1
61,Male,Retired,Doctor,6014.32,1765.19,118998.63,240,743,Single,2,Other,Owned,1
23,Male,Unemployed,Other,1672.19,365.4,197791.73,12,693,Single,4,Bachelor,Owned,0
59,Female,Employed,Accountant,3558.67,687.27,122387.62,48,757,Married,2,Bachelor,Mortgaged,1
26,Female,Employed,Doctor,5795.55,582.61,158195.46,12,636,Married,3,High School,Parental,0
28,Female,Employed,Accountant,6482.03,67.1,146687.93,180,742,Single,4,Bachelor,Rented,1
47,Female,Employed,Manager,6559.22,566.96,141790.67,36,742,Married,3,High School,Mortgaged,1
29,Female,Self-Employed,Clerk,2834.74,653.5,144691.97,24,655,Married,2,Bachelor,Owned,0
57,Male,Student,Teacher,500.0,30.79,93609.9,48,645,Married,2,Master,Parental,0
53,Female,Employed,Teacher,3290.54,703.05,97461.23,36,706,Divorced,1,Diploma,Rented,1
62,Male,Self-Employed,Farmer,6407.1,1114.41,96233.23,60,837,Married,3,Bachelor,Owned,1
64,Female,Unemployed,Sales,1434.32,73.95,11484.65,180,661,Single,0,High School,Owned,1
44,Female,Employed,Accountant,3768.17,295.75,52007.74,180,643,Single,1,Master,Rented,1
35,Male,Employed,Clerk,5190.78,772.86,35139.98,120,774,Married,3,Master,Owned,1
52,Male,Employed,Clerk,4814.47,604.28,177856.78,180,685,Married,4,High School,Rented,1
52,Male,Employed,Other,3541.13,827.1,58619.03,60,749,Single,3,Bachelor,Owned,1
44,Male,Retired,Other,3054.28,672.92,31996.31,84,797,Single,4,Other,Owned,1
61,Male,Employed,Sales,5286.04,911.17,28354.55,180,527,Married,4,Bachelor,Owned,1
69,Female,Employed,Farmer,7896.88,1948.02,141498.02,12,676,Married,2,Bachelor,Parental,1
69,Female,Employed,Engineer,4016.47,677.98,6186.25,84,661,Married,0,Bachelor,Owned,1
32,Female,Retired,Other,500.0,144.66,96904.36,84,603,Married,3,Bachelor,Owned,0
59,Female,Employed,Farmer,3426.57,223.3,28179.87,60,526,Married,0,Other,Rented,1
22,Female,Employed,Manager,3661.03,784.34,170684.36,48,552,Married,4,Other,Mortgaged,0
23,Female,Employed,Teacher,4359.61,483.84,191897.82,12,688,Married,2,Master,Rented,0
69,Male,Employed,Teacher,3430.24,287.08,191957.15,180,637,Widowed,0,Bachelor,Mortgaged,1
57,Female,Employed,Farmer,6233.18,337.32,91183.0,84,615,Married,1,Bachelor,Rented,1
69,Male,Self-Employed,Sales,2325.95,385.53,130680.39,36,687,Single,4,Bachelor,Owned,1
37,Female,Employed,Clerk,5030.03,325.15,121942.31,36,624,Single,1,Other,Rented,1
69,Female,Employed,Sales,8000.29,480.86,73257.59,84,783,Married,0,Master,Rented,1
22,Female,Unemployed,Farmer,1330.35,395.33,91592.58,120,630,Divorced,0,Bachelor,Rented,0
22,Male,Employed,Accountant,5676.14,1365.25,17543.12,180,800,Single,0,High School,Rented,1
48,Female,Employed,Doctor,7785.97,1747.82,160161.31,60,677,Single,3,Bachelor,Owned,1
43,Female,Employed,Teacher,6868.47,1636.2,51956.68,84,627,Divorced,4,Other,Mortgaged,1
57,Male,Retired,Farmer,3847.69,1118.43,94802.83,12,622,Divorced,4,Bachelor,Rented,0
52,Male,Employed,Clerk,4533.91,779.76,98721.04,84,801,Single,4,Diploma,Rented,1
53,Female,Student,Doctor,965.97,63.82,114338.79,240,735,Married,3,High School,Rented,1
21,Male,Unemployed,Manager,500.0,129.33,164485.94,48,619,Married,0,Bachelor,Rented,0
39,Female,Employed,Other,4397.86,979.93,139916.8,12,689,Single,0,PhD,Owned,1
22,Male,Retired,Accountant,3318.05,412.41,134297.29,240,491,Divorced,1,Other,Mortgaged,0
64,Male,Employed,Other,5526.12,785.1,107715.37,48,573,Single,3,PhD,Mortgaged,1
46,Female,Employed,Doctor,3133.06,386.54,23711.37,24,619,Single,2,Master,Owned,1
52,Male,Unemployed,Doctor,2948.06,822.46,83391.65,12,618,Single,3,Bachelor,Parental,0
26,Female,Self-Employed,Other,4614.7,475.59,191676.79,36,777,Single,1,Bachelor,Rented,1
52,Male,Self-Employed,Clerk,3605.83,1042.25,199131.87,120,526,Single,1,Bachelor,Rented,0
24,Male,Employed,Clerk,5331.76,1456.01,147447.14,24,565,Single,1,Master,Owned,0
31,Female,Employed,Engineer,6395.55,1209.76,49365.42,240,716,Married,0,Bachelor,Rented,1
37,Male,Unemployed,Manager,500.0,86.97,24868.68,24,698,Single,2,Bachelor,Owned,0
58,Female,Employed,Clerk,4842.41,537.64,85879.05,60,652,Divorced,1,High School,Rented,1
44,Female,Employed,Manager,3221.22,17.72,172031.52,180,844,Married,4,Bachelor,Rented,1
25,Female,Employed,Manager,8985.51,344.03,145763.53,180,729,Married,0,Master,Mortgaged,1
54,Male,Employed,Doctor,5207.28,1178.25,177358.99,36,777,Single,2,PhD,Owned,0
26,Male,Student,Manager,500.0,70.73,125076.38,24,675,Single,4,Bachelor,Mortgaged,0
42,Female,Employed,Accountant,10399.2,467.46,30414.03,240,636,Married,2,High School,Rented,1
31,Female,Retired,Other,2195.97,173.9,27385.21,36,637,Married,2,PhD,Rented,0
68,Female,Employed,Engineer,4686.38,1332.58,14360.45,180,754,Married,4,Master,Mortgaged,1
36,Male,Self-Employed,Farmer,3794.8,417.96,115580.59,24,741,Married,3,Bachelor,Rented,1
53,Male,Employed,Sales,3728.07,1015.17,52362.82,36,662,Married,2,Bachelor,Rented,1
29,Female,Employed,Engineer,5371.03,490.86,148204.81,12,717,Married,3,Bachelor,Rented,1
26,Female,Employed,Accountant,1683.89,274.42,138818.74,84,757,Divorced,2,Bachelor,Rented,0
36,Female,Employed,Engineer,6628.85,40.72,67031.59,120,634,Married,4,Master,Rented,1
49,Female,Employed,Manager,3308.29,517.95,39476.32,48,652,Widowed,2,Diploma,Rented,1
23,Female,Retired,Doctor,2377.02,454.21,24968.07,12,715,Married,1,High School,Mortgaged,0
40,Male,Self-Employed,Sales,5127.28,360.4,148776.48,36,536,Single,1,High School,Rented,0
56,Male,Employed,Clerk,4693.31,815.14,92835.99,240,717,Single,2,Bachelor,Owned,1
39,Male,Employed,Doctor,4754.68,923.12,68088.33,60,589,Married,4,High School,Rented,1
46,Male,Employed,Manager,3481.88,717.5,172047.34,84,755,Married,4,Diploma,Owned,1
23,Female,Self-Employed,Manager,7143.47,1663.86,120754.58,48,851,Married,0,High School,Rented,1
39,Male,Unemployed,Sales,1297.22,121.16,106010.46,12,624,Married,4,Diploma,Rented,0
40,Female,Retired,Sales,1375.82,234.35,149958.94,60,572,Single,3,Bachelor,Rented,0
52,Male,Employed,Teacher,5267.27,1551.07,164038.71,60,665,Single,2,High School,Mortgaged,1
27,Male,Employed,Doctor,3269.8,881.03,138784.27,60,658,Single,1,Bachelor,Owned,1
61,Male,Employed,Clerk,7583.62,2167.4,90801.23,84,732,Married,4,Bachelor,Parental,1
53,Male,Self-Employed,Engineer,4299.46,498.05,78963.26,24,698,Married,1,High School,Rented,1
60,Female,Self-Employed,Manager,2536.68,598.86,155474.66,12,656,Single,0,Bachelor,Rented,0
59,Male,Self-Employed,Manager,5046.39,938.47,105991.9,24,687,Married,2,Other,Rented,0
38,Female,Self-Employed,Teacher,3582.89,88.93,142355.29,84,590,Single,4,PhD,Mortgaged,0
60,Male,Employed,Doctor,3067.66,758.31,178627.76,60,746,Single,1,High School,Rented,1
21,Male,Unemployed,Doctor,1071.57,217.67,183598.67,60,809,Married,4,Master,Mortgaged,0
31,Male,Employed,Other,5529.26,329.96,59154.55,84,584,Married,0,Bachelor,Mortgaged,1
48,Female,Self-Employed,Sales,5706.6,136.51,41638.54,120,553,Married,1,High School,Mortgaged,1
45,Female,Employed,Clerk,5096.76,1279.83,55951.04,240,647,Married,1,Bachelor,Owned,1
43,Male,Employed,Sales,5160.59,122.15,151517.5,120,582,Divorced,2,Bachelor,Mortgaged,1
51,Male,Student,Clerk,1240.2,33.99,77161.32,24,577,Single,2,Bachelor,Mortgaged,0
50,Female,Student,Accountant,3392.92,435.05,38810.91,84,567,Married,1,Bachelor,Rented,0
62,Male,Unemployed,Farmer,500.0,20.22,24185.17,240,664,Married,2,Master,Mortgaged,1
55,Male,Employed,Clerk,5704.18,1563.52,68826.07,120,647,Married,1,Diploma,Parental,1
27,Female,Self-Employed,Sales,4925.12,694.86,31546.61,24,709,Married,3,Bachelor,Rented,1
36,Female,Employed,Manager,5524.66,943.31,35492.85,36,634,Single,4,Bachelor,Owned,1
46,Male,Student,Sales,500.0,139.22,138357.37,180,582,Single,3,Bachelor,Rented,0
68,Female,Employed,Clerk,5180.91,824.17,8847.76,240,678,Married,3,Other,Owned,1
69,Female,Retired,Doctor,2859.51,303.33,27922.89,48,595,Married,4,Master,Owned,0
22,Male,Retired,Sales,5938.82,1420.25,169651.27,240,720,Single,1,Other,Rented,1
21,Female,Self-Employed,Teacher,3313.35,440.2,169758.25,24,546,Single,1,Bachelor,Rented,1
68,Female,Employed,Other,3631.13,346.92,69202.48,60,506,Married,2,Bachelor,Rented,1
32,Male,Employed,Manager,4990.7,1082.83,22150.84,24,551,Single,0,Bachelor,Mortgaged,1
25,Male,Student,Teacher,884.95,212.81,142469.22,12,646,Single,1,Bachelor,Rented,0
57,Male,Employed,Clerk,5295.27,1257.7,75225.68,60,657,Single,4,Bachelor,Parental,1
52,Female,Student,Accountant,500.0,146.65,13865.6,24,690,Single,0,Master,Owned,0
29,Male,Employed,Teacher,5165.56,1219.07,35776.26,120,634,Married,4,Bachelor,Mortgaged,1
